"","LAT_RAW","sum_1095_days","XSLOPE_MAP","MIN_Z","STRMPWR","FSS_26Aug14","PDISRSA_1YR","POWNRCA_PRI","PALITHERODRCA","PACLAYRCA","PASILTRCA","PASUSCEP5_DE","DAROADX","DAPOPRCA2010","PAOWNRCA_AGR"
"30",0.342443590139865,0.161721270780989,0.29632195818091,0.135727127303827,0.0809064277532331,0.132352941176471,0,0.71765601217656,1,0.493336190722721,0.32043471917415,0.135895012341286,5.62674821415021e-05,0.000240006420187084,0
"31",0.846985839579631,0.723256327604535,0.19420167294661,0.0849436269070405,0.0779581836552966,0.0588235294117647,0,0,0,0.198748951677041,0.496226153854031,0.496898794923302,0.000129533737457826,0.00759769873439215,0
"32",0.856635402982769,0.789796130871318,0.265920517347848,0.247782048994752,0.05140655224463,0.0441176470588235,0,0.405405405405405,0.154056767425751,0.0980066305788066,0.327632193543662,0.174992166833436,9.69790168032625e-05,0.00409907474101691,0
"33",0.829734467970018,0.799433730440571,0.283846188842434,0.299561096700674,0.0875491786765912,0.0294117647058824,0,0,0,0.0925333322326979,0.333001753268988,0.0650239033224331,0,0,0
"34",0.342443590139865,0.160345536997458,0.29632195818091,0.135727127303827,0.0809064277532331,0.132352941176471,0,0.71765601217656,1,0.493336190722721,0.32043471917415,0.135895012341286,5.62674821415021e-05,0.000240006420187084,0
"35",0.237225678077428,0.248395387785903,0.439464403913578,0.147235809664218,0.0589392591840094,0.132352941176471,0.234040378226425,1,1,0.407578387386121,0.698111979551118,0,0,0.0345131559017012,0
"36",0.774618943667414,0.332327331678375,0.315017501507147,0.574181284111436,0.0699668737666522,0.0735294117647059,0.0773055332798717,0,0.678418648762483,0.149570654988114,0.318725632743822,0.0402815524319505,0.000206198080703483,0.00741781845704367,0
"37",0.786161714705201,0.396604975975639,0.253885537842804,0.700172325813835,0.034233389221996,0.147058823529412,0.0444813584348468,0,0.335344632879108,0.331902221162243,0.591513110389416,0,0.000151996002912199,0,0
"38",0.770465477938335,0.268962436889247,0.33259606983367,0.130550028953938,0.0303502737722895,0.25,0,0,0.634965034965035,0.455746282142751,0.265555084234024,0,0,0.0313272390804004,0
"39",0.761436519588904,0.284716669176174,0.234664080931101,0.385739317365371,0.0370004793154138,0.102941176470588,0.0200166112956811,0.721518987341772,1,0.249330630014498,0.511406496006641,0.0304774897184905,5.79444031539364e-05,0,0
"40",0.445355362800401,0.0905718011588183,0.165215075637749,0.171044725300962,0.168724860394039,0.279411764705882,0.102655353646388,0.697046608214121,0.996593807199169,0.657508335718774,0.275940137976738,0.0650501303328464,0.00015365509729565,0.0747211795778049,0.206454484149965
