"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"11","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + XSLOPE_MAP + PASILTRCA + MIN_Z","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1206.11594023606,-1178.11594023606,-0.00105416303583887,-0.00236359406931677,0.105638837635115,0.10638836686899,0.993583861903559,0.831417624521073,0.904214559386973,0.939974457215837
"12","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1175.88683595028,-1149.88683595028,-0.00146479129220741,-0.00317407669009056,0.10621000550771,0.107134199998368,0.989439475585368,0.836526181353768,0.906768837803321,0.939974457215837
"13","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE * XSLOPE_MAP","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1179.50165831438,-1149.50165831438,-0.00158154033110212,-0.00341394512172732,0.106576423610304,0.107213603539631,0.994004719947686,0.828863346104725,0.904214559386973,0.939974457215837
"14","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE * sum_1095_days","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1178.45068659083,-1150.45068659083,-0.00154959147180215,-0.00335768598412155,0.106151804583539,0.107008500982357,0.990097666942362,0.831417624521073,0.9029374201788,0.938697318007663
"15","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + STRMPWR + PASILTRCA + PASUSCEP5_DE * sum_1095_days + PASUSCEP5_DE * XSLOPE_MAP","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1182.2715450786,-1150.2715450786,-0.0016720732434191,-0.00360124776140319,0.106298897958744,0.107620866861881,0.987156988451632,0.832694763729246,0.901660280970626,0.942528735632184
"16","log10_FSS_26Aug14 ~ POWNRCA_PRI + PDISRSA_1YR + PAOWNRCA_AGR + DAROADX + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1153.33858363486,-1125.33858363486,0.007830572460631,0.000730915467659447,0.259550074072155,0.533507645277236,0.985103855764006,0.836526181353768,0.900383141762452,0.946360153256705
"17","log10_FSS_26Aug14 ~ PDISRSA_1YR + DAROADX","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1107.69021471547,-1085.69021471547,0.0200338577968509,0.00221865960185646,0.61263335405642,0.545236176702033,0.981819004289378,0.822477650063857,0.905491698595147,0.942528735632184
"18","log10_FSS_26Aug14 ~ POWNRCA_PRI + PAOWNRCA_AGR + DAPOPRCA2010","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1149.75366236691,-1125.75366236691,-0.000611947232647564,-0.00144092732666406,0.106670957877846,0.108316268891585,0.984496622148886,0.835249042145594,0.9029374201788,0.946360153256705
"19","log10_FSS_26Aug14 ~ POWNRCA_PRI + PAOWNRCA_AGR + DAPOPRCA2010 + DAROADX","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1150.30058971351,-1124.30058971351,0.00564147627355807,0.000279479430463558,0.20370547459174,0.532780547791149,0.984155519398226,0.835249042145594,0.9029374201788,0.946360153256705
"20","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1178.30785498815,-1156.30785498815,-0.0011714772949349,-0.0026297740571814,0.104934793768678,0.106995051437576,0.978677835201746,0.832694763729246,0.901660280970626,0.934865900383142
